Date,Open,High,Low,Close,Volume
2022-07-18 16:00:00,296.0287,296.1,295.03,295.125,2177852
2022-07-18 17:00:00,295.1263,295.28,291.01,291.38,5658648
2022-07-18 18:00:00,291.37,292.06,289.78,289.9,6645487
2022-07-18 19:00:00,289.91,290.83,288.2,289.41,9113158
2022-07-19 14:00:00,293.26,295.14,291.93,295.08,6385927
2022-07-19 15:00:00,295.08,296.3,295.01,296.025,5191079
2022-07-19 16:00:00,296.0389,296.68,295.251,296.65,3773592
2022-07-19 17:00:00,296.65,297.84,296.12,297.775,3323513
2022-07-19 18:00:00,297.78,298.42,297.06,297.76,5093510
2022-07-19 19:00:00,297.77,298.6,297.45,298.23,9108229
2022-07-20 13:00:00,298.13,300.21,297.9329,298.62,7435745
2022-07-20 14:00:00,298.63,303.5,298.28,303.48,9255185
2022-07-20 15:00:00,303.49,304.015,302.32,303.7005,6169990
2022-07-20 16:00:00,303.71,304.24,301.43,302.81,6675566
2022-07-20 17:00:00,302.8,302.95,300.35,300.8404,6875070
2022-07-20 18:00:00,300.865,302.94,300.77,302.6874,3909084
2022-07-20 19:00:00,302.68,303.84,302.51,303.02,7153069
2022-07-21 13:00:00,304.56,304.59,301.7,303.8,6842331
2022-07-21 14:00:00,303.82,304.88,300.78,303.3,7703699
2022-07-21 15:00:00,303.29,304.93,303.015,304.55,4292971
2022-07-21 16:00:00,304.53,306.78,304.47,306.44,4186156
2022-07-21 17:00:00,306.48,306.7301,304.96,305.76,4099418
2022-07-21 18:00:00,305.78,306.7,305.62,306.33,3297652
2022-07-21 19:00:00,306.34,307.435,306.1282,307.43,7706599
2022-07-22 14:00:00,305.75,306.55,304.86,305.84,6422902
2022-07-22 15:00:00,305.85,305.95,301.93,302.9292,6066978
2022-07-22 16:00:00,302.92,303.24,301.57,302.0899,4038616
2022-07-22 17:00:00,302.11,302.12,300.42,301.3,4070309
2022-07-22 18:00:00,301.3,301.4,300.115,301.11,3699318
